time,target_x,target_y,target_z,actual_x,actual_y,actual_z,error_dist,computation_time,v1,v2,v3,v4,v5,v6
2.406,-0.1,-0.2,1.2,-0.10002229574078644,-0.19942882478183513,1.19934748635856,0.000867474657939991,0.0,-0.0003824074841507924,-0.0010296639900039125,-0.0006777462015650217,-0.0019147090664231856,-0.00016801777122556961,0.0004612577038007366
37.343,-0.04660223578863607,-0.22393527066033747,0.8109496149725208,-0.04685401780813519,-0.22324434000061985,0.8103067147080264,0.0009767804829990641,0.0,0.007197658626310178,-0.007570570367406955,-0.0006569961154248771,-0.04611693280799606,0.00748183565350494,0.008420773624427016
37.974,-0.04685401780813519,-0.22324434000061985,0.8025000018775463,-0.047127682952359605,-0.22233036955665927,0.8017373290989193,0.001221435364993008,0.0,-2.7464085425056626e-05,-2.808292537694251e-06,-3.6796212288632462e-06,-4.8480713267675456e-05,-1.4301485071902486e-05,1.047210719900227e-06
39.279,-0.04712793303546392,-0.22233059737710678,0.9517377218439441,-0.047366157426203044,-0.22153603351494988,0.9509005637521313,0.001178522915380278,0.0,-4.765231855491756e-05,0.00032938084139313344,0.00018354426286090882,0.0005210529948471738,7.222717736409216e-05,-1.4570420285510547e-05
41.12,0.268053,-0.513924,0.9509005637521313,0.2676398887770671,-0.513422707734085,0.9481317100276803,0.002844029846148864,0.0,0.00033643939905174755,0.00025940439442881266,0.0003115401442204442,0.00011908130798456195,0.0005198754603454496,3.449132945266729e-05
41.751,0.268053,-0.513924,0.8095000018775463,0.2673312634109025,-0.5129562940617657,0.8067783395454613,0.0029773821281163545,0.0,-0.001106094202013821,-0.0013086913451981,-0.0006028153867388055,-0.0009279049791711279,-0.0007732156192310256,-4.607508748224456e-05
43.68,0.26729540761645804,-0.512962075665687,0.9567683913271178,0.2668874718693474,-0.5124816511023347,0.9539880033164094,0.002850925608453095,0.0,0.0008554486120960525,0.001739708192221349,0.0007639997117708938,0.0006261930146632048,0.00041457767734075576,3.772060321059127e-05
47.436,-0.1363684641053916,-0.570830360043569,0.954020746814146,-0.136152532019992,-0.5702500200366044,0.9512094679679574,0.002878664610581817,0.0,-0.007403013530618498,-0.001281866782094188,0.0012476388874071798,0.0017567913865798432,-0.004475006369513378,-0.000334498016669205
48.069,-0.136152532019992,-0.5702500200366044,0.8025000018775463,-0.13606357243778527,-0.5690209172399406,0.7997318500350852,0.0030300614044857536,0.0,-0.0008958235671751722,-0.0012555775311223652,-0.0005905822654943096,-0.0010369015036439816,-0.0010527292455369897,-1.914406969466065e-05
49.354,-0.13609539534668216,-0.5690008479180795,0.9497211128017249,-0.13608160133952943,-0.5683500412737541,0.9469060225607685,0.0028893723587760834,0.0,0.0004477246857299016,0.001529709199871943,0.0006804975261445068,0.000901276386030817,0.000743027980308677,-2.154301133011952e-06
51.186,0.433739,-0.50713,0.9469060225607685,0.4331741377297093,-0.5069065333866705,0.9432258554020494,0.0037299647488663414,0.0,0.006051920807675401,-0.00019635177753754145,0.00036841444298134395,0.005670553800561546,0.004025119938399606,0.00014253928039157336
51.829,0.433739,-0.50713,0.8095000018775463,0.43282934163415415,-0.5063107058565177,0.8058658699836754,0.0038347928051131754,0.0,-0.001271060810964191,-0.0015265389312112236,-0.0006518847447595504,-0.00024568537723439676,-0.0005501917979768994,-1.6856940091031485e-05
53.757,0.4327900551863828,-0.5063260306215346,0.9558461251692212,0.43239719881791183,-0.5060293570746066,0.9521532204304521,0.0037255733423619346,0.0,0.0010083058169936146,0.0017440986025381764,0.0007548829036595653,0.00012113057087817817,0.0002052718243530734,2.9075994909835874e-05
57.662,-0.18186384239806203,-0.2971722200623944,0.9521971295391667,-0.18167075978959876,-0.2963492697656724,0.9510661073917887,0.00141199829405898,0.0,3.1244376542814386e-05,-4.779267750954493e-05,-2.9040238478566057e-05,-9.324483210417121e-06,-0.0001338047439505169,2.2138520367840296e-05
